word,cefr_level,part_of_speech,definition,example_sentence
Apple,A1,Noun,A round fruit with red or green skin and a whitish inside.,I ate a red apple for breakfast.
Bread,A1,Noun,"A food made of flour, water, and yeast mixed together and baked.",Can you buy a loaf of bread?
Water,A1,Noun,A clear liquid that has no color or taste and is necessary for life.,I drink a lot of water when it is hot.
Happy,A1,Adjective,Feeling or showing pleasure or contentment.,She is very happy with her new toy.
Small,A1,Adjective,Not large; little in size.,The cat is very small.
Arrive,A2,Verb,To reach a place at the end of a journey.,The train will arrive at 6:00 PM.
Believe,A2,Verb,To think that something is true or real.,I believe you are telling the truth.
Expensive,A2,Adjective,Costing a lot of money.,That car is too expensive for me.
Modern,A2,Adjective,Relating to the present or recent times.,They live in a very modern house.
Journey,A2,Noun,The act of traveling from one place to another.,It was a long journey across the desert.
Achieve,B1,Verb,"To succeed in doing something good, usually by working hard.",She worked hard to achieve her goals.
Climate,B1,Noun,The general weather conditions usually found in a place.,"I prefer a warm, sunny climate."
Discuss,B1,Verb,To talk about something with someone and tell each other your ideas or opinions.,We need to discuss the new project.
Frequent,B1,Adjective,Happening often.,He is a frequent visitor to this library.
Opportunity,B1,Noun,An occasion or situation that makes it possible to do something.,This job is a great opportunity for you.
Advocate,B2,Verb,To publicly support or suggest a particular way of doing something.,He advocates for a higher minimum wage.
Comprehensive,B2,Adjective,Complete and including everything that is necessary.,The report is a comprehensive guide to the city.
Efficient,B2,Adjective,Working or operating quickly and effectively in an organized way.,The new machine is much more efficient.
Perspective,B2,Noun,A particular way of considering something.,Try to see the problem from my perspective.
Substantial,B2,Adjective,"Large in size, value, or importance.",The findings show a substantial difference.
Ambiguous,C1,Adjective,Having or expressing more than one possible meaning.,His reply to my question was somewhat ambiguous.
Cognitive,C1,Adjective,Connected with thinking or conscious mental processes.,Some of her cognitive functions have been impaired.
Incentive,C1,Noun,Something that encourages a person to do something.,Bonus payments provide an incentive to work harder.
